	preprintPMID	preprint_citation	publicationType	updatedInfo	updatedPMID
538	33851147	Res Sq. 2021 Apr 5. doi: 10.21203/rs.3.rs-393440/v1.	['Preprint']	['Thromb J. 2021 Jun 29;19(1):47. PMID: 34187490']	34187490
542	33821288	medRxiv. 2021 May 29. doi: 10.1101/2021.03.31.21254660.	['Preprint']	['Nat Commun. 2021 Jul 26;12(1):4598. PMID: 34312390']	34312390
543	33821287	medRxiv. 2021 Mar 31. doi: 10.1101/2021.03.30.21254607.	['Preprint']	['Am J Gastroenterol. 2021 May 25;:. PMID: 34047304']	34047304
556	33821274	bioRxiv. 2021 Jul 5. doi: 10.1101/2021.03.31.437955.	['Preprint']	['Biophys J. 2021 Mar 16;120(6):1040-1053. PMID: 33096082']	33096082
558	33821272	bioRxiv. 2021 Apr 4. doi: 10.1101/2021.04.02.438262.	['Preprint']	['mBio. 2021 Jul 27;:e0150321. PMID: 34311582']	34311582
560	33821270	bioRxiv. 2021 Jul 13. doi: 10.1101/2021.04.03.438321.	['Preprint']	['Mol Biol Evol. 2021 Sep 01;:. PMID: 34469548']	34469548
561	33821269	bioRxiv. 2021 Apr 4. doi: 10.1101/2021.04.02.438292.	['Preprint']	['mBio. 2021 Jul 13;:e0097421. PMID: 34253053']	34253053
564	33821266	bioRxiv. 2021 Apr 2. doi: 10.1101/2021.04.02.438186.	['Preprint']	['mSphere. 2021 Jun 16;:e0050721. PMID: 34133199']	34133199
566	33821264	bioRxiv. 2021 Mar 31. doi: 10.1101/2021.03.30.437796.	['Preprint']	['J Virol. 2021 May 19;:. PMID: 34011547']	34011547
568	33821262	Res Sq. 2021 Mar 30. doi: 10.21203/rs.3.rs-333578/v1.	['Preprint']	['Sci Rep. 2021 Jun 10;11(1):12310. PMID: 34112877']	34112877
573	33791744	medRxiv. 2021 Apr 8. doi: 10.1101/2021.03.23.21254175.	['Preprint']	['Heliyon. 2021 Aug;7(8):e07665. PMID: 34341773']	34341773
575	33791742	medRxiv. 2021 Mar 26. doi: 10.1101/2021.03.25.21254253.	['Preprint']	['Sci Rep. 2021 Sep 1;11(1):17504. PMID: 34471196']	34471196
579	33791738	medRxiv. 2021 Mar 31. doi: 10.1101/2021.03.22.21254131.	['Preprint']	['PLoS One. 2021 Jul 14;16(7):e0254456. PMID: 34260633']	34260633
581	33791736	medRxiv. 2021 Mar 24. doi: 10.1101/2021.03.19.21253328.	['Preprint']	['Nat Chem Biol. 2021 Aug 5;:. PMID: 34354262']	34354262
583	33791734	medRxiv. 2021 Apr 14. doi: 10.1101/2021.03.15.21253596.	['Preprint']	['JAMIA Open. 2021 Apr 19;4(2):ooab036. PMID: 34113801']	34113801
585	33791732	medRxiv. 2021 Apr 17. doi: 10.1101/2021.03.25.21254315.	['Preprint']	['This article has been published with doi: 10.1136/bmj.n1435']	10.1136/bmj.n1435
590	33791727	medRxiv. 2021 Mar 22. doi: 10.1101/2021.03.19.21253920.	['Preprint']	['Clin Infect Dis. 2021 May 16;:. PMID: 33993265']	33993265
591	33791726	medRxiv. 2021 Mar 25. doi: 10.1101/2021.03.16.21253634.	['Preprint']	['Brain Behav Immun. 2021 May 19;:. PMID: 34022372']	34022372
